,sl_no,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,total_cases_per_1m_pop,total_deaths_per_1m_pop,total_tests,total_tests_per_1m_pop,population
141,134.0,Tunisia,1488,,50.0,,1178.0,,260,3.0,126.0,4.0,91256.0,7715.0
142,135.0,Uruguay,1237,,35.0,,967.0,,235,6.0,356.0,10.0,109311.0,31459.0
143,136.0,Latvia,1224,,31.0,,1052.0,,141,,650.0,16.0,195331.0,103657.0
144,137.0,Jordan,1187,,11.0,,1049.0,,127,3.0,116.0,1.0,585469.0,57338.0
145,138.0,Liberia,1179,,72.0,,664.0,,443,,233.0,14.0,,
146,139.0,Georgia,1155,,17.0,,929.0,,209,5.0,290.0,4.0,214043.0,53665.0
147,140.0,Uganda,1140,,2.0,,1028.0,,110,,25.0,0.0,266856.0,5822.0
148,141.0,Niger,1132,,69.0,,1027.0,,36,,47.0,3.0,9052.0,373.0
149,142.0,Burkina Faso,1105,,53.0,,931.0,,121,,53.0,3.0,,
150,143.0,Cyprus,1080,,19.0,,852.0,,209,,894.0,16.0,196479.0,162642.0
151,144.0,Angola,1078,,48.0,,301.0,,729,15.0,33.0,1.0,59052.0,1793.0
152,145.0,Chad,926,,75.0,,813.0,,38,,56.0,5.0,,
153,146.0,Andorra,918,,52.0,,804.0,,62,,11880.0,673.0,3750.0,48528.0
154,147.0,Togo,896,,18.0,,612.0,,266,2.0,108.0,2.0,41245.0,4974.0
155,148.0,Sao Tome and Principe,868,,15.0,,766.0,,87,,3955.0,68.0,2858.0,13023.0
156,149.0,Jamaica,856,1.0,10.0,,724.0,,122,,289.0,3.0,37527.0,12669.0
157,150.0,Botswana,804,,2.0,,63.0,,739,1.0,341.0,0.0,68423.0,29054.0
158,151.0,Malta,720,,9.0,,665.0,,46,,1630.0,20.0,123963.0,280689.0
159,152.0,Syria,717,,40.0,,229.0,,448,,41.0,2.0,,
160,153.0,Diamond Princess,712,,13.0,,651.0,,48,4.0,,,,
161,154.0,San Marino,699,,42.0,,657.0,,0,,20597.0,1238.0,5729.0,168813.0
162,155.0,Réunion,657,,4.0,,592.0,,61,4.0,733.0,4.0,35419.0,39538.0
163,156.0,Channel Islands,587,,47.0,,533.0,,7,,3374.0,270.0,30721.0,176571.0
164,157.0,Lesotho,576,,13.0,,141.0,,422,,269.0,6.0,7463.0,3482.0
165,158.0,Tanzania,509,,21.0,,183.0,,305,7.0,9.0,0.0,,
166,159.0,Bahamas,484,,11.0,,91.0,,382,1.0,1230.0,28.0,4143.0,10528.0
167,160.0,Taiwan,467,,7.0,,441.0,,19,,20.0,0.0,81384.0,3417.0
168,161.0,Vietnam,459,,,,369.0,,90,,5.0,,275000.0,2823.0
169,162.0,Guyana,398,,20.0,,185.0,,193,4.0,506.0,25.0,4563.0,5799.0
170,163.0,Burundi,387,,1.0,,304.0,,82,,32.0,0.0,14362.0,1205.0
171,164.0,Comoros,378,,7.0,,330.0,,41,,434.0,8.0,,
172,165.0,Myanmar,351,,6.0,,294.0,,51,,6.0,0.0,112381.0,2064.0
173,166.0,Mauritius,344,,10.0,,332.0,,2,,270.0,8.0,205285.0,161395.0
174,167.0,Isle of Man,336,,24.0,,312.0,,0,,3950.0,282.0,8137.0,95652.0
175,168.0,Gambia,326,,8.0,,66.0,,252,,135.0,3.0,4515.0,1865.0
176,169.0,Mongolia,291,,,,225.0,,66,4.0,89.0,,35228.0,10733.0
177,170.0,Martinique,269,,15.0,,98.0,,156,4.0,717.0,40.0,12227.0,32584.0
178,171.0,Eritrea,265,,,,191.0,,74,,75.0,,,
179,172.0,Guadeloupe,244,,14.0,,176.0,,54,3.0,610.0,35.0,15235.0,38075.0
180,173.0,Cambodia,226,,,,147.0,,79,1.0,14.0,,60029.0,3587.0
181,174.0,Faeroe Islands,220,,,,188.0,,32,2.0,4501.0,,36547.0,747719.0
182,175.0,Cayman Islands,203,,1.0,,202.0,,0,,3086.0,15.0,29679.0,451179.0
183,176.0,Gibraltar,186,,,,180.0,,6,,5521.0,,20424.0,606233.0
184,177.0,Bermuda,156,,9.0,,141.0,,6,,2506.0,145.0,20962.0,336690.0
185,178.0,Trinidad and Tobago,156,,8.0,,128.0,,20,,111.0,6.0,6955.0,4968.0
186,179.0,Brunei,141,,3.0,,138.0,,0,,322.0,7.0,37058.0,84646.0
187,180.0,Sint Maarten,126,11.0,15.0,,64.0,1.0,47,,2936.0,350.0,857.0,19971.0
188,181.0,Monaco,120,,4.0,,105.0,,11,,3056.0,102.0,38209.0,973131.0
189,182.0,Aruba,119,,3.0,,102.0,,14,,1114.0,28.0,11073.0,103678.0
190,183.0,Seychelles,114,,,,39.0,,75,,1159.0,,,
191,184.0,Barbados,110,,7.0,,95.0,1.0,8,,383.0,24.0,10771.0,37477.0
192,185.0,Turks and Caicos,104,5.0,2.0,,37.0,,65,1.0,2683.0,52.0,1168.0,30137.0
193,186.0,Bhutan,101,2.0,,,88.0,2.0,13,,131.0,,42190.0,54632.0
194,187.0,Antigua and Barbuda,91,,3.0,,67.0,,21,1.0,929.0,31.0,1345.0,13726.0
195,188.0,Liechtenstein,88,,1.0,,85.0,,2,,2307.0,26.0,900.0,23599.0
196,189.0,Papua New Guinea,63,,2.0,,11.0,,50,,7.0,0.0,10000.0,1116.0
197,190.0,French Polynesia,62,,,,62.0,,0,,221.0,,5390.0,19179.0
198,191.0,St. Vincent Grenadines,52,,,,39.0,,13,,469.0,,1866.0,16816.0
199,192.0,Saint Martin,49,,3.0,,41.0,,5,1.0,1266.0,77.0,1080.0,27897.0
200,193.0,Belize,48,,2.0,,27.0,,19,,121.0,5.0,3251.0,8165.0
201,194.0,Macao,46,,,,46.0,,0,,71.0,,4071.0,6263.0
202,195.0,Curaçao,29,,1.0,,24.0,,4,,177.0,6.0,1080.0,6579.0
203,196.0,Fiji,27,,,,18.0,,9,,30.0,,4000.0,4460.0
204,197.0,Grenada,24,+1,,,23.0,,1,,213.0,,6252.0,55542.0
205,198.0,Saint Lucia,24,,,,22.0,,2,,131.0,,2968.0,16157.0
206,199.0,Timor-Leste,24,,,,24.0,,0,,18.0,,1568.0,1188.0
207,200.0,New Caledonia,22,,,,22.0,,0,,77.0,,10186.0,35652.0
208,201.0,Laos,20,,,,19.0,,1,,3.0,,26737.0,3671.0
209,202.0,Dominica,18,,,,18.0,,0,,250.0,,1005.0,13958.0
210,203.0,Saint Kitts and Nevis,17,,,,15.0,,2,,319.0,,1006.0,18900.0
211,204.0,Greenland,14,,,,13.0,,1,,247.0,,5784.0,101870.0
212,205.0,Falkland Islands,13,,,,13.0,,0,,3728.0,,1816.0,520792.0
213,206.0,Montserrat,12,,1.0,,10.0,,1,,2404.0,200.0,61.0,12220.0
214,207.0,Vatican City,12,,,,12.0,,0,,14981.0,,,
215,208.0,Caribbean Netherlands,11,,,,7.0,,4,,419.0,,424.0,16157.0
216,209.0,Western Sahara,10,,1.0,,8.0,,1,,17.0,2.0,,
217,210.0,MS Zaandam,9,,2.0,,,,7,,,,,
